,Tweet,Label
59,"Due to Colorado wildfires, the trip is cancelled. So instead we will be driving through Nevada, and going to California.",Wildfire
60,Photos: Fire threatens man and nature: Photos: Northern Colorado fire rages on       http://t.co/GgPZl7Zf,Wildfire
61,MT @KyleClark: Please keep #HighParkFire firefighters in your thoughts/prayers. Difficult day looms for them.,Wildfire
62,RT @LarimerCounty: Map of #HighParkFire as of 00:20 this morning. http://t.co/5NcEjnop,Wildfire
63,"RT @Ash_ann88: My friend took this at Horsetooth Reservoir, one of my favorite places in CO.. #devastating #Colorado http://t.co/OTwN0lEm",Wildfire
64,Colorado wildfire 'moving fast' http://t.co/1VTm9QbN,Wildfire
65,RT @SMEM911: RT @nocoredcross: #HighParkFire @RedCrossDenver @NoCORedCross People who want to volunteer may call 211 to be put on a wait ...,Wildfire
66,"Sending lots of positive thoughts to Larimer County, Fort Collins and the people affected by the #HighParkFire",Wildfire
67,Photo of the Colorado wildfire from space (via @NASA) http://t.co/AWCRkwr2 #HighParkFire #FortCollins #Highpark #Lemay via @michaelhayes,Wildfire
68,"Damage Assessment teams for #HighParkFire being assembled to determine what' structures have been burned, damaged or untouched.",Wildfire
69,"RT @CBSDenver #HighParkFire continues to have multiple heads, or fronts firefighters are working. Some homes found not burned in fire area",Wildfire
70,"New Mexico, Colorado fires burn out of control http://t.co/StksrcBK",Wildfire
71,The copter is on the way to the #HighParkFire. We'll be airing it live throughout our coverage. You can also follow @CodyCrouch for pics.,Wildfire
72,#boulder #colorado #hiking  @ Mount Sanitas Summit http://t.co/h26XBU70,Wildfire
73,62 year old linda stedman killed in #highparkfire,Wildfire
74,"The High Park fire west of Fort Collins, #CO has consumed 36,930 acres so far, is 0% contained and continues to grow. #NWS #cowx #cofire",Wildfire
75,"Current estimate for #HighParkFire is 41,140 acres. They will know more in the morning after a night IR picture is taken.",Wildfire
76,"RT @dailycamera: #HighParkFire has grown to 41,000 acres; one dead; more than 100 structures burned in #Larimer.  via @denverpost.  http ...",Wildfire
77,"Smokey sunset #highparkfire #sunset #nature  @ Fort Collins, CO http://t.co/MWlr6Fju",Wildfire
78,So proud of the Colorado Springs Air Force graduating class.  You guys did it!,Wildfire
79,"RT @news_com_au: MORE firefighters have been recruited to help fight a raging wildfire in the western US state of Colorado, which... htt ...",Wildfire
80,"RT @jawtry: RT @travisswan: #HighParkFire 3 panoramas I took today from h.287, Bingham Hl Rd, &amp; ridge above Co Rd 23. @coloradoan ht ...",Wildfire
81,Forest fires in Colorado and New Mexico. :(,Wildfire
82,"Colorado fire: 41,140 acres burned, 1 dead: Firefighters were hoping to get control Tuesday of a fast-moving wil... http://t.co/S2s77VSh",Wildfire
83,VIDEO: Colorado wildfire 'moving fast' http://t.co/RvRouaTA,Wildfire
84,"Colorado fire: 41,140 acres burned, 1 dead: Firefighters were hoping to get control Tuesday of a fast-moving wildfire in northern Col...",Wildfire
85,BBC News - Hundreds forced from their homes by Colorado wildfire http://t.co/rAKBJwQJ,Wildfire
86,"RT @NBCNews: New Mexico, Colorado wildfires burn out of control http://t.co/G415N0Hi",Wildfire
87,"Pre-evacuation notice for part Glacier View CR74E, S &amp; E of McNay Hill. Hewlett Gulch Road, Deer Meadow Way, Gordon Creek Lane #HighParkFire",Wildfire
88,"Colorado Fires Map: Colorado Fires Map, A sprawling wildfire in northern Colorado grew larger than the nearby city... http://t.co/VukHl8wx",Wildfire
89,"RT @infodude: Did some math, at 43,433 acres #highparkfire in CO is 67.86 sq miles. That's 3x the size of the island of Manhattan! (22.9 ...",Wildfire
90,"RT @SarahBisbing: #HighParkFire #ecosystems Densely stocked forest, extremely dry fuels, lack of precip, and high winds = fire likely to ...",Wildfire
91,High Park Wildfires Whip Through Colorado http://t.co/x0ARQdcY,Wildfire
92,"RT @katelynburkhart: praying for the people, animals and entire communities affected by this #highparkfire. truly unreal.",Wildfire
93,It is doingsome raining #onthefarm!!!   LORD send of this to put out the fires in Colorado.  #Thrutheflames safety!!!   #BelovedofGOD,Wildfire
94,"For the latest on the massive #HighParkFire, follow @CBSDenver and get the details here: http://t.co/CDODmPJr",Wildfire
95,RT @LarimerSheriff: #HighParkFire evacuation orders issued for Pingree Park area.  25 notifications sent http://t.co/oSmxBfqJ,Wildfire
96,RT @gannett: Terrific panorama shot of the #HighParkFire from @MattStephens with the @coloradoan.  http://t.co/fkp7jsfK,Wildfire
97,RT @BreakingNews: Evacuation order issued in Colorado's High Park Fire - @LarimerSheriff http://t.co/HuSEbG39,Wildfire
98,"So sad! 43,000 acres, 5% contained, 500 firefighters...100 homes destroyed, 1 dead. #wildfire #HighParkFire http://t.co/fpyUydUg",Wildfire
99,More details on Yuma Firefighter who died in rollover accident: http://t.co/2vvvcuMO via @KSWT #azfire #wildfire #fire,Wildfire
100,Colorado State University classes disrupted by High Park Fire  http://t.co/byA9WRQu,Wildfire
101,Is the Colorado Wildfire the Future Norm? http://t.co/yfgHINNf,Wildfire
102,"Is support of those fighting the fire in northern Colorado, we say THREE CHEERS FOR FIRE FIGHTERS! Here's a view... http://t.co/UIb2fSdj",Wildfire
103,RT @kmitchellDP: Colorado wildfire: some residents defy evacuation order for #highparkfire. http://t.co/GuU8MduG,Wildfire
104,RT @coloradoan: RT @LarimerHumane: ready for more evacuated animals from #highparkfire - call dispatch at 970-226-3647 ext. 7 to find ou ...,Wildfire
105,"Beyond the trauma of losing a home, the #HighParkFire is going to take a chunk out of property tax revenue. http://t.co/l8vX6mAF",Wildfire
106,The fire in Colorado is still burning?,Wildfire
107,High Park Fire in Colorado http://t.co/yi1nnag1,Wildfire
108,"People in Colorado shrug off a gigantic fire that one one can put out due to the unstoppable wind, but they have a heart attack over rain...",Wildfire
109,Thx!! RT @CommUlinks: Read Charitable #Colorado ▸ today's top stories via @Summit54 @UrbanLandC @WalkingMtns  ▸ http://t.co/zZhZxxto,Wildfire
110,"Colorado wild fire now 44,000 acres and growing - respect for the fire fighters, thoughts with the homeless",Wildfire
111,@glennbeck you are looking better.  Hope you come back to Colorado Springs sometime soon.,Wildfire
112,Colorado Springs hiring outlook improves - The Business Journal http://t.co/0zjG0D9l,Wildfire
113,"Colorado, New Mexico forest fire crews gain ground: (Reuters) - Fire crews battling flames roaring through natio... http://t.co/EH2aGeFa",Wildfire
114,Colorado to double wildfire crews http://t.co/Zky8ALMM,Wildfire
115,Colorado State University classes disrupted by High Park Fire – 9News http://t.co/MHFEQIIz,Wildfire
116,"Search Healthcare $ Registered Nurse (RN) at Select Specialty Hospital (Colorado Springs, CO)  http://t.co/f8kzUhbr",Wildfire
117,"Colorado, New Mexico forest fire crews gain ground. (Reuters) Story: http://t.co/om9eCXm3",Wildfire
118,4 Northern Rockies T2IA Crews are mobilizing to Colorado and New Mexico to assist with wildland fire suppression efforts.,Wildfire
119,"#HighParkFire live briefing: Bill Hahnenberg, cmdr: Not the kind of fire where we fight for a couple days and head home. Here a long time.",Wildfire
120,@amitvkaushik Poncha Springs Colorado CO http://t.co/mIFtULJy,Wildfire
121,RT @RichKurtzman: #HighParkFire update: Fire officials now say they may not be able to put the fire out until NEXT summer!,Wildfire
122,Great one here: Colorado wildfire roars to 73 square miles - Fox News  [a link in my bio],Wildfire
123,"RT @K_Wills21: So I set the world on fire!  (whoops, sorry about that, Colorado)",Wildfire
124,RT @gbrockell: Wow this is the most amazing map of the #highparkfire I have seen. Takes a while to load but worth it. http://t.co/g4qpMOL4,Wildfire
125,"Other/Attorney/In House/Colorado Springs, Colorado - USA-CO-Colorado Springs: License Management Analyst 3-Fin  ... http://t.co/W8w853M5",Wildfire
126,RT @Kswan11: Pic of #highparkfire from Estes park high school http://t.co/hTVMKlk6,Wildfire
127,@BravoTangoTees Sara in Colorado Springs ... #BTturns1,Wildfire
128,#colorado Team USA to Compete at Pan Am Zonal Fencing Championships in ... http://t.co/hvZgtbHE,Wildfire
129,"RT @RMACCFireinfo: Tanker update: 6 pm, 37 drops, 58,557 gals retardant on #HighParkFire from #JeffcoAirTankerBase.... http://t.co/GQoDKs6A",Wildfire
130,"Love sippin this @BoulderBeerCo Singletrack while on the train in Glenwood Canyon, #Colorado! http://t.co/F1AN2YEf",Wildfire
131,Miss it already #Colorado http://t.co/jOT4Ul34,Wildfire
132,Airstrip in Colorado Springs.,Wildfire
133,"New post: NEW POLL: High Support for Marijuana Legalization in Colorado, 61% Say Regulate Like Alc http://t.co/eZPVrx9r #CO #Colorado",Wildfire
134,RT @meggrieve: Poetic. #highparkfire  http://t.co/F8eKA8JB,Wildfire
135,Can it be Sunday morning already? #Colorado #Plz #IHateTexas,Wildfire
136,RT @denverpost: PHOTOS: Here's an updated look at the #HighParkFire through the lens of @denverphotos: http://t.co/v6VS2vNH,Wildfire
137,Colorado I'll see you soon #colorado #heaven #sonicbloom #festyseason #mountains 💗💗💗 http://t.co/2KlguV2G,Wildfire
138,Armed robbers get away: Colorado Springs police say two black men entered the Ambassador Adult Entertainment Store... http://t.co/4oUiDEGE,Wildfire
139,RT @DenverChannel: RT @1310kfkanews: @larimersheriff just told 1310 KFKA the acreage of the #Highparkfire may grow significantly today,Wildfire
140,"RT @paterosbrew: #HighParkFire fundraiser THIS SATURDAY, from 11-2. With @TheWaffleLab and many others, so stay tuned for more details.",Wildfire
141,"Forlan no Inter: sites na europa dizem que sim. Mas lembrem-se, a fonte de todos eles é o Neto. | #Inter #Colorado",Wildfire
142,#ayp #arvada #colorado (@ Personal Benefit Services Wealth Management w/ @erika1h) http://t.co/RYrXPlCQ: #ayp #a... http://t.co/XFDFP3lB,Wildfire
143,"RT @coloradoan: #HighParkFire live briefing: Commander, This fire could cross the river. If it does, we're going to have a hard time wi ...",Wildfire
144,"RT @MickeyFactz Sad Really: I know we not talking about bottle fights... Not when Colorado has wildfires, KKK ... http://t.co/K4u2BXnL",Wildfire
145,"RT @LarimerCounty #HighParkFire website containing fire info, maps, Disaster Recovery Center details http://t.co/DrqfMMvO #cofire #smem",Wildfire
146,RT @LarimerSheriff: #HighParkFire Another evacuation area notice has been lifted. Please check out link http://t.co/KXPBivpb,Wildfire
147,RT @doyourpartorg: Thunderstorms expected to affect NW portion of the #HighParkFire by 2:30 pm today - 20-30 mph gusts w/light to modera ...,Wildfire
148,"#HighParkFire has burned about 73 square miles. Washington, DC measures 68 square miles. NASA photo t.co",Wildfire
149,"RT @themishawaka: As per this morning's burn maps, we've still managed to remain away from the fire. #HighParkFire #grateful",Wildfire
150,Watch live:  Colorado Wildfire Aerials http://t.co/DwR1UnqW,Wildfire
151,Colorado wildfire: Tankers resume fighting 52000-acre High Park fire - Denver Post: Fox 31 KDVR.comColorado wild... http://t.co/a3Uxxcps,Wildfire
152,"RT @TimesCall: #HighParkfire 15% contained, but jumps the Poudre http://t.co/hRxk47UA",Wildfire
153,"More evacuated as wildfires spread in New Mexico, Colorado http://t.co/9THdcRnY",Wildfire
154,"RT @dailycamera: Boulder County crews handled two fires started by lightning in foothills west of #Boulder tonight. One in Sugarloaf, on ...",Wildfire
155,"RT @jpmeyerDPost: Not a good development. MT @KyleClark: #HighParkFire has jumped the Poudre, climbing a drainage near Glacier View.",Wildfire
156,Colorado High Park fire now 15% contained; hundreds of homes to be evacuated – InciWeb via @NBCNews http://t.co/jyhWaOg5,Wildfire
157,Colorado wildfire hops road: Firefighters Thursday made progress against a massive wildfire 15 miles west of For... http://t.co/vg18pC4v,Wildfire
158,CNN: Colorado wildfire hops road http://t.co/6D1BEiP3,Wildfire
159,Colorado wildfire hops road: Firefighters Thursday made progress against a massive wildfire 15 miles west of For... http://t.co/ZGeaE7su,Wildfire
160,"RT @AnaCabrera: #HighParkFire latest: 52,000 acres, 15% contained, at least 48 homes destroyed, 200new evacs overnight in Glacier View area.",Wildfire
161,Larry Austin jr headed to Colorado Springs for Fiba U17 World Championship tryouts #teamrose,Wildfire
162,"RT @denverpost: #HighParkFire has now burned more than 50,000 acres, fire officials say http://t.co/bzOBq2N9",Wildfire
163,"#HighParkFire info on #LarimerCounty webpage. A lot of advice about prepping for a fire, safety lists, evacuation checklists, structure maps",Wildfire
164,RT @COEmergency: #HighParkFire Disaster Recovery Center opened this morning at CSU Johnson Hall to bring together resources. http://t.co ...,Wildfire
165,Selling your Colorado Springs Colorado home? http://t.co/bui6YnzJ http://t.co/N1CKh6yV,Wildfire
166,"#wyzant #jobs #ColoradoSprings A student in Colorado Springs, CO is looking for a tutor in elementary (k-6th): http://t.co/TFpezc8A",Wildfire
167,RT @COEmergency: Want to donate to #HighParkFire families? Go to http://t.co/lo57JOy8,Wildfire
168,RT @850KOA: Devasting update from #HighParkFire.  112 homes lost.  More likely to be counted in the coming days.,Wildfire
169,"#Internship Product Management Internship: DiversityWorking - Fort Collins, CO -  for an inter... http://t.co/c1IIdXq1 #Colorado #intern",Wildfire
170,Colorado wildfire: High Park Fire near Fort Collins devours 37000 acres,Wildfire
171,"RT @KyleLSaunders: Whoops, wrong link: #HighParkFire threatens largest Buddhist temple in North America http://t.co/I74jaJfG",Wildfire
172,"RT @ColoradoStateU: Meet Ellie, a donkey who lead another donkey and 4 horses to safety before evacuation from #HighParkFire. http://t.c ...",Wildfire
173,"1908 photo Colorado Midland Band, Colorado Springs, Colo.. Male band posed on stage.: 1908 photo Colorado Midlan... http://t.co/YOd31WMS",Wildfire
174,"RT @BreakingNews: Officials: Colorado's High Park fire claims 181 homes, the most in state history - @denverpost http://t.co/Vf9Z667f",Wildfire
175,Looks a lot like MOMA-San Francisco; I suspect the same architect. #denver #colorado #r  @ Denver Art Museum http://t.co/HFzKRH1d,Wildfire
176,"Full Time Housekeeper - Colorado Springs, CO http://t.co/YHyszwaE",Wildfire
177,Most destructive ever Colorado wildfire burns 181 homes http://t.co/D7pnuBOD via @msnbc_us,Wildfire
178,High Park Fire 2012: Colorado Blaze Burns Record Number Of Homes: DENVER -- Additional crews were arriving Satur... http://t.co/sujgYpDy,Wildfire
179,This is a beautiful state #Colorado,Wildfire
180,[Denver News] Colorado wildfire ranks as most destructive in state history: DENVER (Reuters) - An 85-square-mile... http://t.co/yHGdSthP,Wildfire
181,"RT @9NEWS: #HIGHPARKFIRE now 45% containment, has burned 55,050 acres.  #9NEWS",Wildfire
182,Wildfire destroys 181 homes in Colorado: Additional crews were joining the fight Saturday against a wildfire in ... http://t.co/fqUi3Wu6,Wildfire
183,RT @ashleytrailrun: wishes all dads fighting the #highparkfire a happy father's day; also the evacuated dads who'll spend tomorrow comfo ...,Wildfire
184,Denver ties for nation's microbrew capital; Colorado Springs not far ...: Browse Food/Drink. Food/Drink Home Pag... http://t.co/nHU6w5C7,Wildfire
185,Colorado Sees Record Fire Damage http://t.co/8e0BxjxW,Wildfire
186,"RT @SeverePlains: #HighParkFire now most destructive in #COFire history, taking 181 homes. Now over 55k acres w/ $10.8M in damage: http: ...",Wildfire
187,"RT @coloradoan: #HighParkFire UPDATE: Re-Evacuations being announced for Hwy 14, east of Seaman Reservoir.",Wildfire
188,Most destructive ever Colorado wildfire burns 181 homes - U.S. News http://t.co/Gnuz2cFp #COLORADOWILDFIRES,Wildfire
189,Worst Colorado wildfire i... http://t.co/rFBZXtQ1,Wildfire
190,#highparkfire from Loveland  http://t.co/WDBh0E7G,Wildfire
191,High Park Fire: Kansas &amp;amp; Nebraska National Guards Support Colorado http://t.co/QRuKUrFj via @youtube [Like it? http://t.co/wHLz1XYp ],Wildfire
192,"Unprecedented Colorado Wildfires Continue, As Strong Winds and Looting Add to the Problem: (The Blaze/AP) -- Cre... http://t.co/EerKtUjo",Wildfire
193,Search ends for Japanese climbers on Mt. McKinley http://t.co/8ePHqLTm #sumco #colorado,Wildfire
194,"3 days and its just me, family and the joy of waking up to the mountains right outside my window. #Colorado #excited",Wildfire
195,RT @Org9: #note Please those affected by #highparkfire know that auth will make arrangements to get the affected #animals out - do not f ...,Wildfire
196,"...keeping a wary eye on the #SpringerFire. Sure, it's a way from us now, but so was Hayman before it blew up.",Wildfire
197,RT @SMDayFoCo2012: Holy McGillicutty! Wind gusts up to 60 tonight?? #Needabreak. #HighParkFire,Wildfire
198,Biking is better than most things. #mtb #colorado #sunset #bike #nature #sky  http://t.co/2QMscFfC,Wildfire
199,RT @brianlphoto: Sunset in my hometown Fort Collins. High Park Fire smoke. #HighParkFire http://t.co/snllB0fB,Wildfire
200,"Unprecedented Colorado Wildfires Continue, As Strong Winds and Looting Add to the Problem http://t.co/HwKpHLBt",Wildfire
201,"2bd 2ba ranch townhouse in desirable Hover Ridge in #Longmont | $224,900 | call Suz: 720.810.0683 #realestate #property #boulder #colorado",Wildfire
202,Colorado High Park Fire: Potential Looters Pose New Threat - ABC News: ABC NewsColorado High Park Fire: Potentia... http://t.co/4a1hBEVB,Wildfire
203,"RT @denvernews: Denver News: Colorado to sizzle with record heat Monday, fire danger is high http://t.co/gnzPRjgX",Wildfire
204,RT @CNNLive: Officials in #Colorado update the status of the High Park #wildfire.  Live: http://t.co/t3AZmcW2,Wildfire
205,"Rockus - Photos: David Bazan at Fuel/Friends House Show, Colorado Springs http://t.co/VngCD2sM",Wildfire
206,See if our business loans are right for you. http://t.co/BcexcR8d #construction #commercial #Colorado #Business #Economy,Wildfire
207,RT @etniesBMX: That park is Amazing! “@NinaBurrito: Thanks etnies for helpin us on the #yeahzinetrip we made it to Colorado Springs!! ht ...,Wildfire
208,"RT @Meagan9News: Concern today for #highparkfire: Explosive weather conditions because of heat, high winds and low humidity.",Wildfire
209,3 more homes may have burned in Colorado wildfire http://t.co/fHsfRvox #aspen,Wildfire
210,RT @AC360: Firefighters are up against dangerous conditions trying to control the #Colorado wildfire. The latest from @chadmyerscnn 8 &a ...,Wildfire
211,RT @AP: AP VIDEO: Wildfire tearing through northern Colorado destroys the house that Jeff Corum recently renovated: http://t.co/02UEpaxr ...,Wildfire
212,Colorado wildfire destroys 8 more homes; structure toll at 189 http://t.co/OOTX4wNu,Wildfire
213,Hyatt Regency 80202 Selected Colorado Airport Transportation 720-535-6030 #denver #colorado #airport #transportation #hyattregency #shuttle,Wildfire
214,"Colorado fire tops 58,000 acres; weather stays hot and windy: Firefighters in Colorado faced another round of ni... http://t.co/AaFS5McP",Wildfire
215,High Winds Hamper Efforts to Fight Historic Colorado Wildfire http://t.co/uK4y4PIl,Wildfire
216,"RT @dbouwman: Pretty smoke free day Fort Collins, but the smoke is settling in now... closing windows! #highparkfire",Wildfire
217,"Adventure Park di Glenwood Springs, Colorado http://t.co/Kf2bmFbZ… tertinggi-di-dunia @VIVAnews #SIMAKnews  76",Wildfire
218,Wind and heat fuel Colorado wildfire: Forecasters are expecting warmer than normal temperatures and gusty winds ... http://t.co/4tlsHcv9,Wildfire
219,Colorado wildfire now 50 percent contained http://t.co/nXfvS9tF,Wildfire
220,Colorado wildfire now 50 percent contained http://t.co/JOhi7rMx #bay2biz,Wildfire
221,Thin the Trees. No beetle kill. #HighParkFire http://t.co/D5jzzJtP,Wildfire
222,"Wind, heat hurt Colorado wildfire fight: Forecasters are expecting warmer than normal temperatures and gusty win... http://t.co/G1DOJDk2",Wildfire
223,Colorado wildfire: dramatic photographs of #highparkfire. http://t.co/igwlWNsw,Wildfire
224,RT @LarimerSheriff: #HighParkFire Final Evening Update for 6-18-12.  Made some progress on containment! Check out the link. http://t.co/ ...,Wildfire
225,On our way to Colorado springs! Pumped to be in the mountains,Wildfire
226,These wildfires in Colorado need to stop #favoriteplace,Wildfire
227,RT @grouptour: High-elevation roller coaster opens at #Colorado’s @GlenwoodCaverns Adventure Park : http://t.co/Aiz3cCaZ #TT,Wildfire
228,"RT @cnnbrk: #Colorado firefighters facing more wind, heat. http://t.co/wQA8phBt",Wildfire
229,Thank you to all firefighters who are out at the #highparkfire protecting homes and saving lives.,Wildfire
230,"What? RT @danieljchacon: At about 71 percent, the city of Colorado Springs is the greatest funder of PPRTA, says Bach.",Wildfire
231,RT @COEmergency: Items needed for #HighParkFire Donation Center.  http://t.co/FlNhdClR,Wildfire
232,"I'm at WolfWind (Colorado Springs, Colorado) http://t.co/Jp7DbxBy",Wildfire
233,"Wind, Heat Hamper Colorado Wildfire Fight: Wind, Heat Hamper Colorado Wildfire Fight",Wildfire
234,RT @Maiani16: Thoughts and prayers to the victims of the Colorado wildfires #secondhome,Wildfire
235,Cameras come out when the BBoys start dancing... #bboy #breaklife #denver #colorado  http://t.co/gs1GvSuH,Wildfire
236,Went back in the ole memory banks and relived a mountain hike with my late great brother Mike. Posting about it tomorrow. #Colorado #hiking,Wildfire
237,@GMInsideNews @Holden We need that truck here! #Colorado #GMchat,Wildfire
238,"RT @pinkbunny70: Prayers for the residents, Firefighters and all those trying to put out the fires! #highparkfire #ColoradoFires Hope ev ...",Wildfire
